,brand,device_name,model,color,ram,rom,is_5g,processor_brand,processor,display_size,frontcamera,backcamera,battery,price,ratings
699,Redmi,Redmi Note 13 Pro 5G , Note 13 Pro 5G ,Midnight Black,12,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,200MP (OIS) + 8MP + 2MP ,5100,23999,8803
700,Vivo,Vivo X80 Pro , X80 Pro ,Cosmic Black,12,256,False,Snapdragon, Snapdragon 8 Gen 1 Mobile Platform ,6.78 , 32MP ,50MP + 48MP + 12MP + 8MP ,4700,41966,1002
701,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Spectre Blue,8,256,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,32999,750
702,Oppo,Oppo Reno 12 5G , Reno 12 5G ,Matte Brown,8,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.7 , 32MP ,50MP + 8MP + 2MP ,5000,32999,1039
703,Samsung,Samsung Galaxy S25 Ultra 5G , Galaxy S25 Ultra 5G ,Titanium Silverblue,12,512,True,Snapdragon,Snapdragon 8 Elite for Galaxy ,6.9 , 12MP ,200MP + 50MP + 50MP + 10MP ,5000,129999,3267
704,Vivo,Vivo Y16 , Y16 ,Steller Black,3,64,False,Mediatek,Mediatek Helio P35 ,6.51 , 5MP ,13MP + 2MP ,5000,10999,960
705,Infinix,Infinix Zero 40 5G , Zero 40 5G ,Violet Garden,12,256,True,Mediatek,Mediatek Dimensity 8200 Ultimate ,6.78 , 50MP ,108MP + 50MP + 2MP ,5000,25999,421
707,Samsung,Samsung Galaxy A05 , Galaxy A05 ,Black,6,128,False,Mediatek,Mediatek Helio G85 ,6.74 , 8MP ,50MP + 2MP ,5000,12499,969
708,Vivo,Vivo V40 Pro 5G , V40 Pro 5G ,Ganges Blue,8,256,True,Mediatek,Mediatek Dimensity 9200+ ,6.78 , 50MP ,50MP + 50MP + 50MP ,5500,49999,727
709,Vivo,Vivo V40 Pro 5G , V40 Pro 5G ,Ganges Blue,12,512,True,Mediatek,Mediatek Dimensity 9200+ ,6.78 , 50MP ,50MP + 50MP + 50MP ,5500,55999,7513
710,Vivo,Vivo V40 5G , V40 5G ,Lotus Purple,8,128,True,Snapdragon,Snapdragon 7 Gen 3 ,6.78 , 50MP ,50MP + 50MP ,5500,34999,5467
711,Vivo,Vivo V30e , V30e ,Velvet Red,8,256,False,Snapdragon,Snapdragon 6 Gen 1 ,6.78 , 50MP ,50MP + 8MP ,5500,27999,1454
712,Oppo,Oppo A3x 5G , A3x 5G ,Starlight White,4,128,True,Mediatek,Mediatek Dimensity 6300 ,6.67 , 5MP ,8MP Rear Camera ,5100,12499,5494
714,Redmi,Redmi Note 13 Pro 5G , Note 13 Pro 5G ,Arctic White,8,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,200MP (OIS) + 8MP + 2MP ,5100,21999,200
719,Vivo,Vivo V30e , V30e ,Velvet Red,8,128,False,Snapdragon,Snapdragon 6 Gen 1 ,6.78 , 50MP ,50MP + 8MP ,5500,25999,0
720,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
722,Vivo,Vivo V40 5G , V40 5G ,Ganges Blue,8,256,True,Snapdragon,Snapdragon 7 Gen 3 ,6.78 , 50MP ,50MP + 50MP ,5500,36999,7513
724,Realme,Realme 13 Pro 5G , 13 Pro 5G ,Monet Gold,12,512,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 2MP ,5200,31999,601
725,Samsung,Samsung Galaxy S24 Ultra 5G , Galaxy S24 Ultra 5G ,Titanium Violet,12,256,True,Snapdragon,Snapdragon 8 Gen 3 ,6.8 , 12MP ,200MP + 50MP + 12MP + 10MP ,5000,134999,2553
726,Samsung,Samsung Galaxy A25 5G , Galaxy A25 5G ,Blue Black,8,128,True,Exynos,Exynos 1280 ,6.5 , 13MP ,50MP + 8MP + 2MP ,5000,18990,231
727,Poco,Poco C55 , C55 ,Forest Green,4,64,False,Mediatek,Mediatek Helio G85 ,6.71 , 5MP ,50MP Dual Rear Camera ,5000,9499,130555
728,Redmi,Redmi 14C 5G , 14C 5G ,Stargaze Black,4,128,True,Snapdragon,Snapdragon 4 Gen 2 5G ,6.88 , 8MP ,50MP Rear Camera ,5160,10968,152
729,Realme,Realme 10 , 10 ,Clash White,4,64,False,Mediatek,Mediatek Helio G99 Octa Core ,6.4 , 16MP ,50MP + 2MP ,5000,9999,27374
730,Oppo,Oppo Reno 12 5G , Reno 12 5G ,Astro Silver,8,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.7 , 32MP ,50MP + 8MP + 2MP ,5000,32999,1039
731,Google,Google Pixel 8 Pro , Pixel 8 Pro ,Obsidian,12,256,False,Unisoc,Unisoc Tensor G3 ,6.7 , 10.5MP ,50MP + 48MP + 48MP ,5050,81999,1013
732,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Phantom Purple,8,256,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,32999,750
733,Vivo,Vivo Y200e 5G , Y200e 5G ,Black Diamond,8,128,True,Snapdragon,Snapdragon 4 Gen 2 ,6.67 , 16MP ,50MP + 2MP ,5000,19999,1267
734,Oppo,Oppo A79 5G , A79 5G ,Glowing Green,8,128,True,Mediatek,Mediatek Dimensity 6020 ,6.72 , 8MP ,"Rear Camera: 50MP AI Camera, 2MP Portrait Camera Front Camera: 8MP Selfie Camera ",5000,17499,2569
735,Motorola,Motorola Edge 50 Pro 5G with 125W Charger , Edge 50 Pro 5G with 125W Charger ,Moonlight Pearl,12,256,True,Snapdragon,Snapdragon 7 Gen 3 Mobile Platform ,6.7 , 50MP ,50MP + 13MP + 10MP ,4500,29999,51803
736,Samsung,Samsung Galaxy S23 Ultra 5G , Galaxy S23 Ultra 5G ,Cream,12,256,True,Snapdragon, Snapdragon 8 Gen 2 ,6.8 , 12MP ,200MP + 10MP + 12MP + 10MP ,5000,78500,3912
738,Oppo,Oppo Reno 12 5G , Reno 12 5G ,Sunset Peach,8,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.7 , 32MP ,50MP + 8MP + 2MP ,5000,32999,1039
739,Vivo,Vivo V40 5G , V40 5G ,Ganges Blue,12,512,True,Snapdragon,Snapdragon 7 Gen 3 ,6.78 , 50MP ,50MP + 50MP ,5500,41999,971
740,Samsung,Samsung Galaxy S21 FE 5G with Snapdragon 888 , Galaxy S21 FE 5G with Snapdragon 888 ,Graphite,8,256,True,Snapdragon,Snapdragon 888 ,6.4 , 32MP ,12MP + 12MP + 8MP (OIS) ,4500,32999,150735
741,Infinix,Infinix Note 40 Pro+ 5G , Note 40 Pro+ 5G ,Racing Grey,12,256,True,Mediatek,Mediatek Dimensity 7020 ,6.78 , 32MP ,108MP (OIS) + 2MP + 2MP ,4600,21999,3681
742,Vivo,Vivo T2x 5G , T2x 5G ,Sunstone Orange,4,128,True,Mediatek,Mediatek Dimensity 6020 ,6.58 , 8MP ,50MP + 2MP ,5000,11999,186627
743,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Spectre Blue,12,512,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,35999,701
744,Motorola,Motorola G34 5G , G34 5G ,Charcoal Black,8,128,True,Snapdragon,Snapdragon 695 5G ,6.5 , 16MP ,50MP + 2MP ,5000,11999,142514
745,Poco,Poco C65 , C65 ,Pastel Green,8,256,False,Mediatek,Mediatek Helio G85 ,6.74 , 8MP ,50MP + AI Lens + 2MP ,5000,10999,12553
746,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
747,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Spectre Blue,12,512,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,35999,701
748,Vivo,Vivo Y200e 5G , Y200e 5G ,Saffron Delight,8,128,True,Snapdragon,Snapdragon 4 Gen 2 ,6.67 , 16MP ,50MP + 2MP ,5000,19999,1267
749,Realme,Realme C53 , C53 ,Champion Black,6,128,False,Unisoc,Unisoc T612 ,6.74 , 8MP ,108MP + 2MP ,5000,11999,134155
750,Oppo,Oppo Reno 12 5G , Reno 12 5G ,Matte Brown,8,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.7 , 32MP ,50MP + 8MP + 2MP ,5000,32999,1039
751,Samsung,Samsung Galaxy F15 5G , Galaxy F15 5G ,Ash Black,6,128,True,Unisoc,Unisoc Mediatek MediaTek Dimensity 6100+ ,6.5 , 13MP ,50MP + 5MP + 2MP ,6000,13499,30102
755,Poco,Poco M4 Pro , M4 Pro ,Cool Blue,6,64,False,Mediatek,Mediatek Helio G96 ,6.43 , 16MP ,64MP + 8MP + 2MP ,5000,9999,189594
756,Vivo,Vivo V30e , V30e ,Silk Blue,8,256,False,Snapdragon,Snapdragon 6 Gen 1 ,6.78 , 50MP ,50MP + 8MP ,5500,27999,5467
757,Motorola,Motorola Edge 50 Pro 5G with 68W Charger , Edge 50 Pro 5G with 68W Charger ,Moonlight Pearl,8,256,True,Snapdragon,Snapdragon 7 Gen 3 Mobile Platform ,6.7 , 50MP ,50MP + 13MP + 10MP ,4500,27999,33123
760,Samsung,Samsung Galaxy S24 5G , Galaxy S24 5G ,Onyx Black,8,256,True,Exynos,Exynos 2400 ,6.2 , 12MP ,50MP + 10MP + 12MP ,4000,64887,1607
761,Samsung,Samsung Galaxy S21 FE 5G with Snapdragon 888 , Galaxy S21 FE 5G with Snapdragon 888 ,Graphite,8,128,True,Snapdragon,Snapdragon 888 ,6.4 , 32MP ,12MP + 12MP + 8MP (OIS) ,4500,45999,150735
762,Google,Google Pixel 7 Pro , Pixel 7 Pro ,Hazel,12,128,False,Unisoc,Unisoc Google Tensor G2 ,6.7 , 10.8MP ,50MP + 48MP + 12MP ,4926,44999,7262
763,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Titan Black,8,256,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,32999,750
764,Vivo,Vivo Y58 5G , Y58 5G ,Himalayan Blue,8,128,True,Snapdragon,Snapdragon 4 Gen 2 ,6.72 , 8MP ,50MP + 2MP ,6000,16988,499
765,Vivo,Vivo Y300 Plus 5G , Y300 Plus 5G ,Silk Green,8,128,True,Snapdragon,Snapdragon 695 ,6.78 , 32MP ,50MP + 2MP ,5000,23999,194
766,Redmi,Redmi A3 , A3 ,Midnight Black,3,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,6990,2950
767,Google,Google Pixel 8 Pro , Pixel 8 Pro ,Obsidian,12,256,False,Unisoc,Unisoc Tensor G3 ,6.7 , 10.5MP ,50MP + 48MP + 48MP ,5050,81999,1013
770,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
772,Oppo,Oppo Reno10 Pro 5G , Reno10 Pro 5G ,Glossy Purple,12,256,True,Snapdragon,Snapdragon 778G 5G ,6.7 , 32MP ,50MP + 32MP + 8MP ,4600,37999,11208
773,Samsung,Samsung Galaxy F14 5G , Galaxy F14 5G ,OMG Black,6,128,True,Exynos,"Exynos 1330, Octa Core ",6.6 , 13MP ,50MP + 2MP ,6000,13490,126270
774,Samsung,Samsung Galaxy S25 Ultra 5G , Galaxy S25 Ultra 5G ,Titanium Black,12,256,True,Snapdragon,Snapdragon 8 Elite for Galaxy ,6.9 , 12MP ,200MP + 50MP + 50MP + 10MP ,5000,129999,5633
775,Infinix,Infinix HOT 30 5G , HOT 30 5G ,Knight Black,4,128,True,Mediatek,Mediatek Dimensity 6020 5G ,6.78 , 8MP ,50 MP + AI Lens ,6000,12499,9605
776,Iqoo,Iqoo Z7 Pro 5G , Z7 Pro 5G ,Graphite Matte,8,256,True,Mediatek,Mediatek Dimensity 7200 5G Mobile Platform ,6.78 , 16MP ,64MP + 2MP ,4600,21999,382
777,Realme,Realme P1 Speed 5G , P1 Speed 5G ,Textured Titanium,12,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.67 , 16MP ,50MP + 2MP ,5000,20999,91
778,Tecno,Tecno Camon 30 5G , Camon 30 5G ,Uyuni Salt White,8,256,True,Mediatek,Mediatek Dimensity 7020 ,6.78 , 50MP ,50MP + 2MP ,5000,19999,2950
779,Redmi,Redmi A3 , A3 ,Lake Blue,3,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,7289,21179
780,Redmi,Redmi 13 5G , 13 5G ,Black Diamond,6,128,True,Snapdragon,Snapdragon 4 Gen 2 AE ,6.79 , 13MP ,108MP + 2MP ,5030,12499,14021
783,Poco,Poco X7 Pro 5G , X7 Pro 5G ,Nebula Green,12,256,True,Mediatek,Mediatek Dimensity D8400 Ultra ,6.67 , 20MP ,50MP + 8MP ,6550,29999,9563
784,Vivo,Vivo V29 5G , V29 5G ,Red,8,128,True,Snapdragon,Snapdragon 778G ,6.78 , 50MP ,50MP + 8MP + 2MP ,4600,31949,360394
785,Redmi,Redmi 7A , 7A ,Matte Blue,2,16,False,Snapdragon, Snapdragon 439 ,5.45 , 5MP ,12MP Rear Camera ,4000,6499,21179
786,Redmi,Redmi 13 5G , 13 5G ,Hawaiian Blue,6,128,True,Snapdragon,Snapdragon 4 Gen 2 AE ,6.79 , 13MP ,108MP + 2MP ,5030,12499,14036
787,Redmi,Redmi A1+ , A1+ ,Black,3,32,False,Mediatek,Mediatek Helio A22 ,6.52 , 5MP ,8MP Rear Camera ,5000,7799,823
789,Infinix,Infinix Zero Flip 5G , Zero Flip 5G ,Rock Black,8,512,True,Mediatek,Mediatek Dimensity 8020 ,6.9 , 50MP ,50MP + 50MP ,4720,49999,26
791,Xiaomi,Xiaomi 14 CIVI , 14 CIVI ,Shadow Black,8,256,False,Snapdragon,Snapdragon 8s Gen 3 Mobile Platform ,6.55 , 32MP + 32MP Dual ,50MP Rear Camera ,4700,39999,0
792,Realme,Realme 13 5G , 13 5G ,Speed Green,8,256,True,Mediatek,Mediatek Dimensity 6300 ,6.72 , 16MP ,50MP + 2MP ,5000,19999,734
793,Realme,Realme GT 5G , GT 5G ,Dashing Blue,8,128,True,Snapdragon, Snapdragon 888 ,6.43 , 16MP ,64MP + 8MP + 2MP ,4500,26990,1520
794,Xiaomi,Xiaomi 14 CIVI , 14 CIVI ,Matcha Green,8,256,False,Snapdragon,Snapdragon 8s Gen 3 Mobile Platform ,6.55 , 32MP + 32MP Dual ,50MP Rear Camera ,4700,39999,1186
795,Vivo,Vivo Y200 Pro 5G , Y200 Pro 5G ,Silk Green,8,128,True,Snapdragon,Snapdragon 695 ,6.78 , 16MP ,64MP + 2MP ,5000,24999,393
796,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
798,Vivo,Vivo Y22 , Y22 ,Metaverse Green,6,128,False,Mediatek,Mediatek Helio G70 ,6.55 , 8MP ,50MP + 2MP ,5000,11990,1939
799,Oppo,Oppo A59 5G , A59 5G ,Starry Black,6,128,True,Mediatek,Mediatek Dimensity 6020 ,6.56 , 8MP ,13MP + 2MP ,5000,15499,2614
800,Redmi,Redmi A2 , A2 ,Classic Black,2,64,False,Mediatek,Mediatek Helio G36 ,6.52 , 5MP ,8MP Rear Camera ,5000,6999,17620
801,Poco,Poco M4 Pro , M4 Pro ,Cool Blue,6,64,False,Mediatek,Mediatek Helio G96 ,6.43 , 16MP ,64MP + 8MP + 2MP ,5000,9999,189594
802,Google,Google Pixel 7 Pro , Pixel 7 Pro ,Hazel,12,128,False,Unisoc,Unisoc Google Tensor G2 ,6.7 , 10.8MP ,50MP + 48MP + 12MP ,4926,44999,7262
803,Realme,Realme 12 Pro 5G , 12 Pro 5G ,Navigator Beige,12,256,True,Snapdragon,Snapdragon 6 Gen 1 ,6.7 , 16MP ,50MP + 8MP + 32MP ,5000,22999,12259
804,Google,Google Pixel 8 Pro , Pixel 8 Pro ,Obsidian,12,128,False,Unisoc,Unisoc Tensor G3 ,6.7 , 10.5MP ,50MP + 48MP + 48MP ,5050,74999,1013
805,Motorola,Motorola E7 Plus , E7 Plus ,Misty Blue,4,64,False,Snapdragon, Snapdragon 460 ,6.5 , 8MP ,48MP + 2MP ,5000,6546,49095
808,Poco,Poco C65 , C65 ,Pastel Green,8,256,False,Mediatek,Mediatek Helio G85 ,6.74 , 8MP ,50MP + AI Lens + 2MP ,5000,10999,12553
809,Poco,Poco F5 5G , F5 5G ,Electric Blue,12,256,True,Snapdragon, Snapdragon 7+ Gen 2 (4nm) ,6.67 , 16MP ,64MP (OIS) + 8MP + 2MP ,5000,22480,5486
810,Realme,Realme 12 Pro 5G , 12 Pro 5G ,Navigator Beige,8,256,True,Snapdragon,Snapdragon 6 Gen 1 ,6.7 , 16MP ,50MP + 8MP + 32MP ,5000,20999,32418
811,Vivo,Vivo Y200 Pro 5G , Y200 Pro 5G ,Silk Black,8,128,True,Snapdragon,Snapdragon 695 ,6.78 , 16MP ,64MP + 2MP ,5000,24999,393
812,Vivo,Vivo X90 , X90 ,Asteroid Black,8,256,False,Mediatek,Mediatek Dimensity 9200 ,6.78 , 32MP ,50MP + 12MP + 12MP ,4810,44990,1066
813,Vivo,Vivo T2 Pro 5G , T2 Pro 5G ,New Moon Black,8,256,True,Mediatek,Mediatek Dimensity 7200 ,6.78 , 16MP ,64MP + 2MP ,4600,23999,122803
816,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
817,Samsung,Samsung Galaxy S24 Ultra 5G , Galaxy S24 Ultra 5G ,Titanium Violet,12,256,True,Snapdragon,Snapdragon 8 Gen 3 ,6.8 , 12MP ,200MP + 50MP + 12MP + 10MP ,5000,134999,2553
818,Vivo,Vivo X90 , X90 ,Asteroid Black,12,256,False,Mediatek,Mediatek Dimensity 9200 ,6.78 , 32MP ,50MP + 12MP + 12MP ,4810,49990,500
819,Redmi,Redmi 12 5G , 12 5G ,Pastel Blue,6,128,True,Snapdragon,Snapdragon 4 Gen 2 ,6.79 , 8MP ,50MP + 2MP ,5000,13999,62221
820,Realme,Realme 10 , 10 ,Rush Black,8,128,False,Mediatek,Mediatek Helio G99 Octa Core ,6.4 , 16MP ,50MP + 2MP ,5000,12999,12811
821,Poco,Poco M4 Pro , M4 Pro ,Power Black,6,128,False,Mediatek,Mediatek Helio G96 ,6.43 , 16MP ,64MP + 8MP + 2MP ,5000,19999,189594
822,Realme,Realme 12 5G , 12 5G ,Twilight Purple,8,128,True,Mediatek,Mediatek Dimensity 6100+ ,6.72 , 8MP ,108MP + 2MP ,5000,17999,2398
823,Oppo,Oppo Find X8 5G , Find X8 5G ,Star Grey,12,256,True,Mediatek,Mediatek Dimensity 9400 ,6.59 , 32MP ,50MP + 50MP + 50MP ,5630,69999,390
824,Realme,Realme 13 5G , 13 5G ,Dark Purple,8,128,True,Mediatek,Mediatek Dimensity 6300 ,6.72 , 16MP ,50MP + 2MP ,5000,17999,734
825,Realme,Realme 13 5G , 13 5G ,Speed Green,8,128,True,Mediatek,Mediatek Dimensity 6300 ,6.72 , 16MP ,50MP + 2MP ,5000,17999,734
826,Xiaomi,Xiaomi 14 CIVI , 14 CIVI ,Cruise Blue,8,256,False,Snapdragon,Snapdragon 8s Gen 3 Mobile Platform ,6.55 , 32MP + 32MP Dual ,50MP Rear Camera ,4700,39999,1186
827,Poco,Poco X6 5G , X6 5G ,Snowstorm White,12,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,64MP + 8MP + 2MP ,5100,23999,11350
828,Poco,Poco X6 Pro 5G , X6 Pro 5G ,Racing Grey,8,256,True,Mediatek,Mediatek Dimensity D8300 Ultra ,6.67 , 16MP ,64MP + 8MP + 2MP ,5000,19999,20185
829,Poco,Poco X6 Pro 5G , X6 Pro 5G ,Racing Grey,12,512,True,Mediatek,Mediatek Dimensity D8300 Ultra ,6.67 , 16MP ,64MP + 8MP + 2MP ,5000,28999,15575
830,Samsung,Samsung Galaxy S25 5G , Galaxy S25 5G ,Icyblue,12,256,True,Snapdragon,Snapdragon 8 Elite for Galaxy ,6.2 , 12MP ,50MP + 10MP + 12MP ,4000,80999,1623
831,Oppo,Oppo A3 Pro 5G , A3 Pro 5G ,Moonlight Purple,8,256,True,Mediatek,Mediatek Dimensity 6300 5G Mobile Platform ,6.67 , 8MP ,50MP + 2MP ,5100,19999,27374
832,Realme,Realme 10 , 10 ,Clash White,4,64,False,Mediatek,Mediatek Helio G99 Octa Core ,6.4 , 16MP ,50MP + 2MP ,5000,9999,55
835,Poco,Poco F6 5G , F6 5G ,Deadpool,12,256,True,Snapdragon,Snapdragon 8s Gen3 ,6.67 , 20MP ,50MP (OIS) + 8MP ,5000,26999,740
837,Vivo,Vivo Y35 , Y35 ,Agate Black,8,128,False,Snapdragon, Snapdragon 680 ,6.58 , 16MP ,50MP + 2MP + 2MP ,5000,13990,1443
839,Vivo,Vivo Y18 , Y18 ,Gem Green,4,128,False,Mediatek,Mediatek Helios G85 ,6.56 , 8MP ,50MP + 0.08MP ,5000,9499,0
840,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
842,Vivo,Vivo Y18 , Y18 ,Gem Green,4,128,False,Mediatek,Mediatek Helios G85 ,6.56 , 8MP ,50MP + 0.08MP ,5000,9499,1359
843,Realme,Realme P1 Speed 5G , P1 Speed 5G ,Brushed Blue,8,128,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.67 , 16MP ,50MP + 2MP ,5000,17999,1675
844,Samsung,Samsung Galaxy M32 5G , Galaxy M32 5G ,Sky Blue,8,128,True,Mediatek,Mediatek Dimensity 720 5G ,6.5 , 13MP ,48MP + 8MP + 5MP + 2MP ,5000,16490,1549
845,Poco,Poco M6 5G , M6 5G ,Polaris Green,4,128,True,Mediatek,Mediatek Dimensity 6100+ ,6.74 , 5MP ,50MP Rear Camera ,5000,10499,130614
846,Redmi,Redmi 10 , 10 ,Midnight Black,6,128,False,Snapdragon, Snapdragon 680 ,6.7 , 5MP ,50MP + 2MP ,6000,12999,49339
848,Motorola,Motorola G10 Power , G10 Power ,Breeze Blue,4,64,False,Snapdragon,Snapdragon 460 ,6.51 , 8MP ,48MP + 8MP + 2MP + 2MP | 8MP Front Camera6000 mAh BatterySnapdragon 460 ProcessorStock Android Experience ,6000,8999,62199
849,Redmi,Redmi 13C , 13C ,Stardust Black,4,128,False,Mediatek,Mediatek Helio G85 ,6.74 , 8MP ,50MP Rear Camera ,5000,7199,79198
850,Realme,Realme 12+ 5G , 12+ 5G ,Pioneer Green,8,256,True,Mediatek,Mediatek Dimensity 7050 ,6.67 , 16MP ,50MP + 8MP + 2MP ,5000,21999,19326
851,Realme,Realme 12 5G , 12 5G ,Woodland Green,6,128,True,Mediatek,Mediatek Dimensity 6100+ ,6.72 , 8MP ,108MP + 2MP ,5000,16999,7890
852,Vivo,Vivo Y22 , Y22 ,Starlit Blue,4,128,False,Mediatek,Mediatek Helio G70 ,6.55 , 8MP ,50MP + 2MP ,5000,13499,2130
853,Vivo,Vivo Y16 , Y16 ,Drizzling Gold,4,64,False,Mediatek,Mediatek Helio P35 ,6.51 , 5MP ,13MP + 2MP ,5000,13999,8281
854,Honor,Honor 200 5G , 200 5G ,Moonlight White,12,512,True,Snapdragon,Snapdragon 7 Gen 3 ,6.7 , 50MP ,50MP + 50MP + 12MP ,5200,32999,25
855,Honor,Honor 200 5G , 200 5G ,Moonlight White,8,256,True,Snapdragon,Snapdragon 7 Gen 3 ,6.7 , 50MP ,50MP + 50MP + 12MP ,5200,27999,80
857,Redmi,Redmi 10 , 10 ,Pacific Blue,4,64,False,Snapdragon, Snapdragon 680 ,6.7 , 5MP ,50MP + 2MP ,6000,10999,260026
858,Realme,Realme C51 , C51 ,Mint Green,4,64,False,Unisoc,Unisoc T612 ,6.74 , 5MP ,50MP + 0.08MP ,5000,8999,91956
859,Realme,Realme 12 Pro 5G , 12 Pro 5G ,Submarine Blue,8,256,True,Snapdragon,Snapdragon 6 Gen 1 ,6.7 , 16MP ,50MP + 8MP + 32MP ,5000,20999,32418
860,Vivo,Vivo X90 , X90 ,Breeze Blue,8,256,False,Mediatek,Mediatek Dimensity 9200 ,6.78 , 32MP ,50MP + 12MP + 12MP ,4810,44990,1066
861,Samsung,Samsung Galaxy S25 Plus 5G , Galaxy S25 Plus 5G ,Silver Shadow,12,512,True,Snapdragon,Snapdragon 8 Elite for Galaxy ,6.7 , 12MP ,50MP + 10MP + 12MP ,4900,99999,95
863,Samsung,Samsung Galaxy S24 Ultra 5G , Galaxy S24 Ultra 5G ,Titanium Violet,12,512,True,Snapdragon,Snapdragon 8 Gen 3 ,6.8 , 12MP ,200MP + 50MP + 12MP + 10MP ,5000,144999,0
864,Redmi,Redmi 13 5G , 13 5G ,Black Diamond,6,128,True,Snapdragon,Snapdragon 4 Gen 2 AE ,6.79 , 13MP ,108MP + 2MP ,5030,12499,21179
865,Vivo,Vivo V40 Pro 5G , V40 Pro 5G ,Titanium Grey,8,256,True,Mediatek,Mediatek Dimensity 9200+ ,6.78 , 50MP ,50MP + 50MP + 50MP ,5500,49999,969
866,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
867,Vivo,Vivo X90 , X90 ,Breeze Blue,12,256,False,Mediatek,Mediatek Dimensity 9200 ,6.78 , 32MP ,50MP + 12MP + 12MP ,4810,49990,500
868,Realme,Realme C51 , C51 ,Mint Green,4,128,False,Unisoc,Unisoc T612 ,6.74 , 5MP ,50MP + 0.08MP ,5000,9499,91956
869,Poco,Poco X6 5G , X6 5G ,Snowstorm White,12,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,64MP + 8MP + 2MP ,5100,23999,11350
870,Redmi,Redmi 10 , 10 ,Pacific Blue,4,64,False,Snapdragon, Snapdragon 680 ,6.7 , 5MP ,50MP + 2MP ,6000,10999,260026
872,Realme,Realme P1 Speed 5G , P1 Speed 5G ,Textured Titanium,12,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.67 , 16MP ,50MP + 2MP ,5000,13999,382
873,Redmi,Redmi 12 5G , 12 5G ,Pastel Blue,6,128,True,Snapdragon,Snapdragon 4 Gen 2 ,6.79 , 8MP ,50MP + 2MP ,5000,17999,62221
875,Infinix,Infinix HOT 12 Play , HOT 12 Play ,Racing Black,4,64,False,Unisoc,Unisoc T610 ,6.82 , 8MP ,13MP + Depth Lens ,6000,7289,122406
876,Redmi,Redmi A3 , A3 ,Lake Blue,3,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,18999,2950
