,brand,device_name,model,color,ram,rom,is_5g,processor_brand,processor,display_size,frontcamera,backcamera,battery,price,ratings
580,Vivo,Vivo X200 5G , X200 5G ,Cosmos Black,12,256,True,Mediatek,Mediatek Dimensity 9400 ,6.67 , 32MP ,50MP + 50MP + 50MP ,5800,65999,397
581,Samsung,Samsung Galaxy S23 5G , Galaxy S23 5G ,Green,8,256,True,Snapdragon, Snapdragon 8 Gen 2 ,6.1 , 12MP ,50MP + 10MP + 12MP ,3900,41999,70672
582,Redmi,Redmi Note 14 Pro 5G , Note 14 Pro 5G ,Phantom Purple,8,256,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,26999,1219
583,Redmi,Redmi Note 13 5G , Note 13 5G ,Prism Gold,12,256,True,Mediatek,Mediatek Dimensity 6080 ,6.67 , 16MP ,108MP + 2MP ,5000,17499,6107
584,Realme,Realme 13 Pro 5G , 13 Pro 5G ,Emerald Green,12,512,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 2MP ,5200,31999,601
585,Oppo,Oppo Reno13 5G , Reno13 5G ,Luminous Blue,8,256,True,Mediatek,Mediatek Dimensity 8350 ,6.59 , 50MP ,50MP + 8MP + 2MP ,5600,39999,727
587,Oppo,Oppo Reno13 5G , Reno13 5G ,Ivory White,8,256,True,Mediatek,Mediatek Dimensity 8350 ,6.59 , 50MP ,50MP + 8MP + 2MP ,5600,39999,727
588,Redmi,Redmi A3 , A3 ,Olive Green,3,64,False,Mediatek,Mediatek Helio G36 ,6.71 , 5MP ,8MP Rear Camera ,5000,7288,2950
590,Google,Google Pixel 9 Pro , Pixel 9 Pro ,Porcelain,16,256,False,Unisoc,Unisoc G4 Tensor Chip ,6.3 , 42MP ,50MP + 48MP + 48MP ,4700,109999,252
591,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Phantom Purple,12,512,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,35999,701
